school_id,name,source,school_type,ownership,state,lon,lat,enrolment,teachers,teacher_student_ratio,performance_score,performance_class,dropout_rate,dropout_risk,facilities_score,internet_access,electricity,toilets_per_100,dist_to_town_km,socioeconomic_idx,waec_pass_rate,urban_weight,poverty_index,literacy_rate,pred_score,pred_perf_cls,pred_dropout,perf_color,drop_color
2552,FUTA Geotechnical Lab,OSM,Primary,Private,Ondo,5.132816,7.302534,499,15,0.0301,74.11,High,22.19,Medium Risk,5.89,1,0,2.17,0.58,0.5751,57.01,0.55,0.3,0.8,65.81,High,Medium Risk,#1a9850,#fc8d59
2553,Animal House,OSM,Primary,Private,Ondo,5.133762,7.301515,439,12,0.0273,93.72,High,10.64,Low Risk,5.48,0,1,2.54,12.27,0.9714,90.21,0.55,0.3,0.8,66.29,Medium,Medium Risk,#fee08b,#fc8d59
2554,Chemistry Lab 2,OSM,Primary,Public,Ondo,5.134041,7.301714,560,21,0.0375,55.0,Medium,25.46,High Risk,3.8,0,1,2.61,5.11,0.8361,42.44,0.55,0.3,0.8,63.34,Medium,Medium Risk,#fee08b,#fc8d59
2555,3 in 1 A,OSM,Junior Secondary,Private,Ondo,5.134033,7.301113,151,7,0.0464,70.52,High,10.83,Low Risk,4.48,1,1,1.85,0.25,0.7655,85.59,0.55,0.3,0.8,67.1,Medium,Medium Risk,#fee08b,#fc8d59
2556,Post Graduate Research Lab,OSM,Primary,Public,Ondo,5.134131,7.301459,366,7,0.0191,66.26,Medium,26.3,High Risk,6.01,0,1,2.76,0.88,0.7393,70.1,0.55,0.3,0.8,65.58,High,Medium Risk,#1a9850,#fc8d59
2557,3 in 1 C,OSM,Primary,Public,Ondo,5.133692,7.300878,195,3,0.0154,41.63,Low,30.28,High Risk,4.13,0,1,2.7,10.81,0.701,71.05,0.55,0.3,0.8,62.94,Medium,Medium Risk,#fee08b,#fc8d59
2558,School of Computing,OSM,Primary,Private,Ondo,5.132133,7.304719,536,12,0.0224,80.41,High,13.48,Medium Risk,6.34,0,1,2.72,7.27,0.701,98.0,0.55,0.3,0.8,64.41,Medium,Medium Risk,#fee08b,#fc8d59
2559,Life Spring School,OSM,Primary,Private,Ondo,5.149951,7.288554,496,6,0.0121,52.95,Medium,25.3,High Risk,5.14,1,1,2.71,6.52,0.8065,64.48,0.55,0.3,0.8,66.5,High,Medium Risk,#1a9850,#fc8d59
2560,REHOBOTH COLLEGE GATE,OSM,Senior Secondary,Private,Ondo,5.151872,7.286699,243,11,0.0453,48.45,Low,20.76,Medium Risk,6.95,1,1,3.13,9.04,0.7438,80.93,0.55,0.3,0.8,67.45,High,Medium Risk,#1a9850,#fc8d59
2561,Rehoboth College Of Health,OSM,Senior Secondary,Public,Ondo,5.151498,7.286306,256,14,0.0547,58.77,Medium,20.05,Medium Risk,4.2,0,1,1.73,8.36,0.6933,47.69,0.55,0.3,0.8,62.11,High,Medium Risk,#1a9850,#fc8d59
2562,Microbiology Department,OSM,Primary,Public,Ondo,5.148411,7.296126,371,11,0.0296,62.88,Medium,30.37,High Risk,3.83,0,0,2.35,23.34,0.5136,74.61,0.55,0.3,0.8,66.34,Medium,Medium Risk,#fee08b,#fc8d59
2563,Futa Staff Primary School(PTA BUILDING),OSM,Senior Secondary,Private,Ondo,5.147979,7.295854,314,12,0.0382,51.29,Medium,22.52,Medium Risk,9.26,1,1,3.04,19.18,0.7227,49.77,0.55,0.3,0.8,68.47,High,Medium Risk,#1a9850,#fc8d59
2564,Teaching And Research Farm(Department of Fisheries And Aquaculture Technology),OSM,Primary,Public,Ondo,5.145768,7.294097,586,16,0.0273,60.35,Medium,26.66,High Risk,3.31,0,1,2.67,33.53,0.7178,91.08,0.55,0.3,0.8,64.58,Medium,Medium Risk,#fee08b,#fc8d59
2565,Department Of Chemistry(Laboratory),OSM,Primary,Private,Ondo,5.149196,7.295761,112,3,0.0268,56.82,Medium,19.7,Medium Risk,6.49,0,1,2.4,2.33,0.8698,98.0,0.55,0.3,0.8,66.21,High,Medium Risk,#1a9850,#fc8d59
2566,Metallurgical And Materials Engineering Mineral Processing Laboratory,OSM,Primary,Private,Ondo,5.149028,7.296138,420,9,0.0214,77.5,High,19.9,Medium Risk,7.96,1,0,2.85,12.17,0.694,89.81,0.55,0.3,0.8,70.46,High,Medium Risk,#1a9850,#fc8d59
2567,School Of Basic Medical Sciences(SBMS),OSM,Primary,Public,Ondo,5.148906,7.295609,623,14,0.0225,64.81,Medium,18.76,Medium Risk,2.83,0,0,1.83,1.2,0.86,55.95,0.55,0.3,0.8,59.0,Medium,Medium Risk,#fee08b,#fc8d59
2568,Students Affairs,OSM,Junior Secondary,Private,Ondo,5.138242,7.30093,308,5,0.0162,81.59,High,24.37,Medium Risk,9.12,1,0,3.39,1.91,0.7862,90.52,0.55,0.3,0.8,69.36,High,Medium Risk,#1a9850,#fc8d59
2569,Life Spring's Covenant Life Nursery & Primary School,OSM,Junior Secondary,Public,Ondo,5.148282,7.28912,226,7,0.031,85.62,High,31.66,High Risk,3.1,0,1,1.56,12.18,0.9097,36.15,0.55,0.3,0.8,64.98,Medium,Medium Risk,#fee08b,#fc8d59
2570,Aipate Baptist Church Grammar School,OSM,Primary,Public,Osun,4.167499,7.629732,463,15,0.0324,59.88,Medium,24.21,Medium Risk,4.15,0,1,1.52,6.48,0.6887,63.43,0.55,0.32,0.78,62.51,Medium,Medium Risk,#fee08b,#fc8d59
2571,Federal college of Education,OSM,Senior Secondary,Private,Osun,4.17136,7.645201,406,17,0.0419,63.62,Medium,15.92,Medium Risk,8.77,0,1,3.42,0.39,0.8271,48.16,0.55,0.32,0.78,64.56,High,Medium Risk,#1a9850,#fc8d59
2572,Excellent Model Nur & Pry. School,OSM,Primary,Public,Osun,4.176507,7.630835,208,3,0.0144,54.4,Medium,26.68,High Risk,5.56,0,0,2.68,4.56,0.625,76.23,0.55,0.32,0.78,64.02,Medium,High Risk,#fee08b,#d73027
2573,Baptist High school,OSM,Primary,Public,Osun,4.163907,7.630301,410,14,0.0341,56.79,Medium,10.99,Low Risk,5.16,0,1,2.29,0.26,0.8299,74.14,0.55,0.32,0.78,62.54,Medium,Medium Risk,#fee08b,#fc8d59
2574,National Open University,OSM,Senior Secondary,Private,Osun,4.165657,7.64558,322,8,0.0248,65.32,Medium,26.73,High Risk,6.53,1,0,2.56,0.82,0.8452,66.11,0.55,0.32,0.78,68.79,High,Medium Risk,#1a9850,#fc8d59
2575,Newton College,OSM,Primary,Mission/Faith-based,Osun,4.161187,7.649733,477,16,0.0335,69.42,Medium,13.56,Medium Risk,4.72,0,1,2.73,2.19,0.5473,63.35,0.55,0.32,0.78,61.55,Medium,Medium Risk,#fee08b,#fc8d59
2576,The wings school,OSM,Primary,Private,Osun,4.167042,7.64181,763,19,0.0249,70.44,High,20.97,Medium Risk,8.02,1,1,2.31,13.33,0.7721,73.32,0.55,0.32,0.78,67.33,High,Medium Risk,#1a9850,#fc8d59
2577,Vico Hope International College,OSM,Junior Secondary,Public,Osun,4.174241,7.651276,475,14,0.0295,78.87,High,27.56,High Risk,5.06,0,1,2.58,31.71,0.6862,65.1,0.55,0.32,0.78,63.6,Medium,Medium Risk,#fee08b,#fc8d59
2578,D.C School,OSM,Primary,Public,Osun,4.17755,7.64491,388,10,0.0258,60.12,Medium,24.7,Medium Risk,5.08,0,0,2.44,15.0,0.681,44.04,0.55,0.32,0.78,66.44,Medium,High Risk,#fee08b,#d73027
2579,Regina Mundi Girls Secondary School,OSM,Senior Secondary,Private,Osun,4.170549,7.639742,212,8,0.0377,61.76,Medium,25.37,High Risk,4.56,1,0,2.63,0.47,0.6908,70.9,0.55,0.32,0.78,67.26,Medium,Medium Risk,#fee08b,#fc8d59
2580,School Of Postgraduates (Phase 2),OSM,Primary,Public,Ondo,5.134929,7.299336,534,10,0.0187,88.57,High,26.07,High Risk,5.7,0,0,2.08,25.24,0.6598,72.73,0.55,0.3,0.8,68.45,Medium,Medium Risk,#fee08b,#fc8d59
2581,School Of Postgraduates ( Phase 1),OSM,Primary,Public,Ondo,5.134976,7.298968,477,16,0.0335,85.75,High,31.31,High Risk,4.8,0,1,3.28,5.27,0.7199,43.97,0.55,0.3,0.8,62.49,Medium,Medium Risk,#fee08b,#fc8d59
2582,Royal Steps Academy,OSM,Primary,Public,Plateau,8.886279,9.894178,482,14,0.029,65.38,Medium,34.97,High Risk,3.1,0,0,2.23,14.31,0.678,64.57,0.45,0.42,0.72,55.81,Low,High Risk,#d73027,#d73027
2583,Idi Ape Baptist School,OSM,Primary,Public,Osun,4.315523,7.898152,329,8,0.0243,69.21,Medium,30.47,High Risk,6.1,0,1,2.33,0.9,0.6776,68.12,0.55,0.32,0.78,64.61,Medium,Medium Risk,#fee08b,#fc8d59
2584,Baptist Royal Academy,OSM,Tertiary,Public,Bauchi,9.830804,10.319171,1574,85,0.054,34.03,Low,37.33,High Risk,2.32,0,0,0.9,21.99,0.2171,80.02,0.38,0.62,0.48,56.77,Low,High Risk,#d73027,#d73027
2585,Federal Polytechnic Oko,OSM,Senior Secondary,Private,Anambra,7.107266,6.050799,331,15,0.0453,70.48,High,20.39,Medium Risk,6.27,1,0,2.85,4.78,0.8221,58.12,0.6,0.22,0.88,68.4,High,Medium Risk,#1a9850,#fc8d59
2586,St. Paul Primary & Secondary School,OSM,Primary,Private,Plateau,8.886418,9.923618,486,15,0.0309,58.57,Medium,23.05,Medium Risk,2.84,1,1,1.8,14.02,0.584,57.34,0.45,0.42,0.72,63.7,High,High Risk,#1a9850,#d73027
2587,Morning Dew Private School,OSM,Primary,Public,Lagos,3.52306,6.539737,792,17,0.0215,66.36,Medium,19.95,Medium Risk,9.09,0,1,2.69,0.1,1.0,82.89,0.95,0.12,0.92,72.34,High,Low Risk,#1a9850,#1a9850
2588,Rabjib college,OSM,Primary,Mission/Faith-based,Plateau,8.88795,9.913383,292,9,0.0308,54.45,Medium,31.11,High Risk,2.13,0,1,3.06,19.02,0.5555,47.1,0.45,0.42,0.72,58.03,Medium,High Risk,#fee08b,#d73027
2589,Government Primary school,OSM,Primary,Public,Cross River,8.31403,4.938045,502,9,0.0179,44.65,Low,30.31,High Risk,4.67,0,1,2.5,4.94,0.5865,73.63,0.48,0.38,0.75,60.69,Medium,High Risk,#fee08b,#d73027
2590,Brotherhood Model College,OSM,Junior Secondary,Public,Cross River,8.315564,4.933016,499,13,0.0261,75.61,High,29.89,High Risk,1.59,0,0,2.19,1.5,0.6722,49.53,0.48,0.38,0.75,58.35,Medium,High Risk,#fee08b,#d73027
2591,faculty of arts,OSM,Junior Secondary,Private,Plateau,8.884109,9.967458,305,11,0.0361,58.61,Medium,18.82,Medium Risk,8.76,0,1,3.31,1.03,0.6635,70.86,0.45,0.42,0.72,58.82,Medium,High Risk,#fee08b,#d73027
2592,faculty of environmental science,OSM,Primary,Mission/Faith-based,Plateau,8.881094,9.965255,129,2,0.0155,56.94,Medium,36.65,High Risk,1.85,0,1,2.61,24.91,0.6054,39.65,0.45,0.42,0.72,54.49,Medium,High Risk,#fee08b,#d73027
2593,faculty of agricultural science,OSM,Primary,Private,Plateau,8.886327,9.979189,401,14,0.0349,73.52,High,30.09,High Risk,4.23,0,1,2.08,8.05,0.5147,51.01,0.45,0.42,0.72,58.9,Medium,High Risk,#fee08b,#d73027
2594,"Modrosatul Darus Sunnah, Adeleye",OSM,Primary,Public,Oyo,4.043173,7.452271,438,9,0.0205,55.78,Medium,28.44,High Risk,3.81,0,1,2.25,1.63,0.7305,53.36,0.65,0.28,0.8,64.0,Medium,Medium Risk,#fee08b,#fc8d59
2595,Danny grace academy,OSM,Junior Secondary,Public,Lagos,3.23233,6.521542,605,25,0.0413,78.02,High,19.6,Medium Risk,6.07,0,0,2.86,0.16,0.9411,49.73,0.95,0.12,0.92,71.88,High,Low Risk,#1a9850,#1a9850
2596,DE MICROBYTES,OSM,Primary,Private,Lagos,3.231677,6.520079,515,16,0.0311,54.83,Medium,14.82,Medium Risk,6.49,1,1,1.54,6.72,0.8112,95.41,0.95,0.12,0.92,70.65,High,Low Risk,#1a9850,#1a9850
2597,Triple b nursery and primary,OSM,Senior Secondary,Mission/Faith-based,Lagos,3.234354,6.522779,311,16,0.0514,64.99,Medium,11.36,Low Risk,6.29,1,1,2.98,1.86,0.8662,71.98,0.95,0.12,0.92,73.87,High,Low Risk,#1a9850,#1a9850
2598,JEMFAS SCHOOLS,OSM,Primary,Private,Lagos,3.22904,6.521117,661,8,0.0121,84.27,High,15.35,Medium Risk,10.0,1,0,3.37,0.1,0.9189,98.0,0.95,0.12,0.92,70.14,High,Low Risk,#1a9850,#1a9850
2599,St Mary Grace School,OSM,Primary,Public,Lagos,3.232988,6.525701,635,19,0.0299,72.73,High,16.75,Medium Risk,10.0,0,1,3.49,2.49,0.9327,97.12,0.95,0.12,0.92,71.31,High,Low Risk,#1a9850,#1a9850
2600,PILLARS COLLEGE,OSM,Junior Secondary,Public,Lagos,3.233245,6.521673,285,8,0.0281,66.62,Medium,18.11,Medium Risk,7.82,1,1,3.92,0.1,0.9873,86.38,0.95,0.12,0.92,73.92,High,Low Risk,#1a9850,#1a9850
2601,PILLARS PRIMARY SCHOOL,OSM,Senior Secondary,Public,Lagos,3.232675,6.521316,306,9,0.0294,64.85,Medium,27.91,High Risk,8.81,1,0,3.22,3.38,1.0,54.7,0.95,0.12,0.92,70.03,High,Low Risk,#1a9850,#1a9850
2602,Mary Greg Schools,OSM,Senior Secondary,Public,Lagos,3.236198,6.525188,621,31,0.0499,68.09,Medium,22.5,Medium Risk,8.24,1,1,3.2,0.95,1.0,58.7,0.95,0.12,0.92,73.72,High,Low Risk,#1a9850,#1a9850
2603,Loveone Academy,OSM,Junior Secondary,Public,Lagos,3.237274,6.527491,503,14,0.0278,73.88,High,14.03,Medium Risk,7.38,0,1,3.48,0.88,1.0,75.55,0.95,0.12,0.92,70.46,High,Low Risk,#1a9850,#1a9850
2604,Bridge School,OSM,Primary,Public,Lagos,3.23614,6.522517,500,12,0.024,84.0,High,6.38,Low Risk,6.39,1,1,3.4,3.19,1.0,64.55,0.95,0.12,0.92,71.15,High,Low Risk,#1a9850,#1a9850
2605,Al ibadah children School,OSM,Junior Secondary,Public,Lagos,3.237517,6.522484,375,19,0.0507,82.15,High,15.84,Medium Risk,6.69,1,1,2.98,0.8,0.9962,61.79,0.95,0.12,0.92,74.19,High,Low Risk,#1a9850,#1a9850
2606,Tutorial lesson,OSM,Primary,Private,Lagos,3.239459,6.524151,796,27,0.0339,77.37,High,12.22,Medium Risk,9.59,1,0,3.59,1.78,0.9312,98.0,0.95,0.12,0.92,72.73,High,Low Risk,#1a9850,#1a9850
2607,House,OSM,Primary,Public,Lagos,3.240084,6.524763,548,16,0.0292,63.91,Medium,16.65,Medium Risk,7.77,1,0,3.47,1.2,0.9461,65.79,0.95,0.12,0.92,68.44,High,Low Risk,#1a9850,#1a9850
2608,Mosfit private school,OSM,Junior Secondary,Public,Lagos,3.237839,6.525975,418,16,0.0383,66.01,Medium,10.37,Low Risk,9.4,1,1,3.32,3.63,0.9521,51.6,0.95,0.12,0.92,74.95,High,Low Risk,#1a9850,#1a9850
2609,Amazing success model academy,OSM,Primary,Public,Lagos,3.234557,6.531825,386,9,0.0233,72.73,High,8.41,Low Risk,6.51,1,1,3.22,1.63,0.9332,94.53,0.95,0.12,0.92,70.21,High,Low Risk,#1a9850,#1a9850
2610,Ikeoluwa conprehensive college,OSM,Tertiary,Public,Lagos,3.2343,6.530736,1564,107,0.0684,99.0,High,17.74,Medium Risk,7.73,1,1,2.8,1.21,1.0,68.44,0.95,0.12,0.92,83.96,High,Low Risk,#1a9850,#1a9850
2611,JB_JOSHBIS ACADEMY SCHOOL,OSM,Primary,Public,Lagos,3.235662,6.533972,647,27,0.0417,62.17,Medium,11.63,Low Risk,7.26,1,1,3.41,0.25,1.0,94.72,0.95,0.12,0.92,74.17,High,Low Risk,#1a9850,#1a9850
2612,JIGATES DIGITAL SCHOOL,OSM,Primary,Public,Lagos,3.235919,6.530527,584,19,0.0325,52.33,Medium,11.7,Low Risk,6.31,1,1,2.52,0.93,0.8427,95.89,0.95,0.12,0.92,69.81,High,Low Risk,#1a9850,#1a9850
2613,Meevic home grace,OSM,Junior Secondary,Private,Lagos,3.234828,6.534518,540,25,0.0463,56.66,Medium,16.09,Medium Risk,9.42,1,0,4.14,0.22,1.0,98.0,0.95,0.12,0.92,72.06,High,Low Risk,#1a9850,#1a9850
2614,Amazing Success Model Academy,OSM,Tertiary,Public,Lagos,3.234585,6.53187,1457,128,0.0879,85.95,High,18.39,Medium Risk,7.93,1,1,3.98,1.85,1.0,97.05,0.95,0.12,0.92,83.35,High,Low Risk,#1a9850,#1a9850
2615,PECULIAR TREASURE NURSERY AND PRIMARY SCHOOL,OSM,Junior Secondary,Mission/Faith-based,Lagos,3.235964,6.534795,368,14,0.038,95.96,High,11.71,Low Risk,8.29,0,1,3.19,11.92,1.0,98.0,0.95,0.12,0.92,72.53,High,Low Risk,#1a9850,#1a9850
2616,DAMARVOUR School,OSM,Senior Secondary,Public,Lagos,3.235543,6.535962,159,5,0.0314,87.62,High,12.13,Medium Risk,8.74,0,1,3.06,3.65,1.0,80.2,0.95,0.12,0.92,71.49,High,Low Risk,#1a9850,#1a9850
2617,Ike Oluwa comprehensive college,OSM,Junior Secondary,Mission/Faith-based,Lagos,3.234302,6.530577,322,15,0.0466,72.92,High,22.81,Medium Risk,8.44,0,1,3.74,0.12,1.0,91.33,0.95,0.12,0.92,72.41,High,Low Risk,#1a9850,#1a9850
2618,"Motbram Nur, primary school",OSM,Primary,Private,Lagos,3.232903,6.532814,497,15,0.0302,66.5,Medium,10.34,Low Risk,10.0,0,1,3.06,6.94,0.7475,84.71,0.95,0.12,0.92,70.54,High,Low Risk,#1a9850,#1a9850
2619,Jigates digital School,OSM,Primary,Mission/Faith-based,Lagos,3.235814,6.53037,637,18,0.0283,74.36,High,7.02,Low Risk,9.34,1,1,3.4,2.29,0.9664,68.56,0.95,0.12,0.92,73.28,High,Low Risk,#1a9850,#1a9850
2620,Alpha comprehensive schools,OSM,Primary,Private,Lagos,3.232186,6.529964,470,16,0.034,54.28,Medium,12.75,Medium Risk,9.86,1,1,2.9,3.6,0.8898,87.19,0.95,0.12,0.92,73.21,High,Low Risk,#1a9850,#1a9850
2621,Excellent Breed School,OSM,Senior Secondary,Public,Lagos,3.229044,6.524032,316,6,0.019,73.07,High,6.65,Low Risk,5.47,0,1,3.16,0.31,1.0,68.96,0.95,0.12,0.92,71.28,High,Low Risk,#1a9850,#1a9850
2622,Connection Private school,OSM,Junior Secondary,Public,Lagos,3.22776,6.524601,401,14,0.0349,84.38,High,8.07,Low Risk,9.49,0,1,3.17,0.1,0.9751,83.91,0.95,0.12,0.92,71.21,High,Low Risk,#1a9850,#1a9850
2623,Beatom Excellent Montessori,OSM,Senior Secondary,Mission/Faith-based,Lagos,3.229344,6.523186,325,13,0.04,51.98,Medium,18.56,Medium Risk,8.22,1,1,2.49,0.52,0.87,82.55,0.95,0.12,0.92,72.3,High,Low Risk,#1a9850,#1a9850
2624,Denoy kids academy & college,OSM,Senior Secondary,Private,Lagos,3.228363,6.522448,436,13,0.0298,79.02,High,9.66,Low Risk,9.56,1,1,2.9,2.47,1.0,94.36,0.95,0.12,0.92,73.02,High,Low Risk,#1a9850,#1a9850
2625,First winner's nursery & primary school,OSM,Junior Secondary,Public,Lagos,3.23156,6.530427,414,9,0.0217,81.36,High,17.5,Medium Risk,5.64,1,0,3.36,5.16,0.9919,72.01,0.95,0.12,0.92,68.34,High,Low Risk,#1a9850,#1a9850
2626,NORTHWEST BEST ACADEMY,OSM,Primary,Private,Kano,8.572689,12.047413,452,11,0.0243,63.41,Medium,39.65,High Risk,3.34,1,0,2.67,8.44,0.5692,61.96,0.6,0.55,0.65,58.73,Medium,High Risk,#fee08b,#d73027
2627,GOLDEN VOICE ACADEMY,OSM,Primary,Public,Kano,8.570085,12.05089,658,12,0.0182,57.42,Medium,35.51,High Risk,3.45,0,1,1.33,4.55,0.6478,24.59,0.6,0.55,0.65,51.23,Low,High Risk,#d73027,#d73027
2628,USMAN BN AFFAN COLLEGE OF ISLAMIC STUDIES,OSM,Primary,Public,Kano,8.572107,12.048556,592,17,0.0287,60.96,Medium,33.97,High Risk,4.12,0,0,1.86,7.3,0.3798,62.64,0.6,0.55,0.65,52.35,Low,High Risk,#d73027,#d73027
2629,ƊA'ATUN NABIYYU,OSM,Primary,Public,Kano,8.570147,12.049293,399,15,0.0376,61.27,Medium,42.54,High Risk,4.71,0,1,1.75,16.38,0.4775,65.32,0.6,0.55,0.65,51.03,Low,High Risk,#d73027,#d73027
2630,RAMLA ACADEMY ARABIC AND ENGLISH,OSM,Junior Secondary,Mission/Faith-based,Kano,8.571165,12.049389,519,18,0.0347,55.93,Medium,40.85,High Risk,4.13,0,1,2.6,7.58,0.4178,32.85,0.6,0.55,0.65,50.59,Low,High Risk,#d73027,#d73027
2631,BRIGHT ACADEMY,OSM,Senior Secondary,Mission/Faith-based,Kano,8.571193,12.04768,270,12,0.0444,56.07,Medium,40.18,High Risk,3.81,0,0,2.45,16.4,0.4836,68.29,0.6,0.55,0.65,50.21,Low,High Risk,#d73027,#d73027
2632,INTELLECTUAL SCIENCE COMMUNITY SCHOOL,OSM,Primary,Public,Kano,8.570775,12.047841,303,7,0.0231,38.26,Low,28.61,High Risk,2.63,0,1,1.48,18.65,0.3978,67.79,0.6,0.55,0.65,47.99,Low,High Risk,#d73027,#d73027
2633,GOLDEN VOICE ACADEMY,OSM,Senior Secondary,Public,Kano,8.569583,12.050914,383,7,0.0183,77.96,High,39.48,High Risk,3.09,0,1,2.84,10.79,0.4864,65.37,0.6,0.55,0.65,50.64,Low,High Risk,#d73027,#d73027
2634,SIDI SHARE FOUNDATION,OSM,Junior Secondary,Private,Kano,8.569068,12.048539,302,12,0.0397,77.17,High,37.22,High Risk,1.71,0,0,0.89,2.11,0.5872,50.78,0.6,0.55,0.65,54.3,Low,High Risk,#d73027,#d73027
2635,MAL. AUDU MAI ALMAJIRAI,OSM,Junior Secondary,Public,Kano,8.56838,12.04839,461,15,0.0325,49.52,Low,36.34,High Risk,4.9,0,1,3.08,38.58,0.5093,45.79,0.6,0.55,0.65,49.05,Low,High Risk,#d73027,#d73027
2636,UMURUDEN,OSM,Primary,Public,Kano,8.575832,12.04967,288,8,0.0278,27.69,Low,31.66,High Risk,5.41,0,0,2.67,15.67,0.6804,36.47,0.6,0.55,0.65,51.04,Low,High Risk,#d73027,#d73027
2637,AULAD INTNL SCHOOL,OSM,Primary,Public,Kano,8.575022,12.049672,435,7,0.0161,57.15,Medium,42.32,High Risk,5.31,0,1,1.9,1.7,0.3662,36.43,0.6,0.55,0.65,52.79,Low,High Risk,#d73027,#d73027
2638,FAIR MINDED ACADAMY,OSM,Tertiary,Mission/Faith-based,Kano,8.574923,12.048052,1255,92,0.0733,62.41,Medium,37.99,High Risk,1.44,0,0,1.86,0.34,0.5628,44.9,0.6,0.55,0.65,59.49,Medium,High Risk,#fee08b,#d73027
2639,IMAM MALIK PRIMARY,OSM,Primary,Mission/Faith-based,Kano,8.574097,12.049216,562,15,0.0267,66.22,Medium,47.5,High Risk,0.12,0,1,1.69,1.25,0.4728,59.0,0.6,0.55,0.65,52.52,Low,High Risk,#d73027,#d73027
2640,NANA RUKAIYYA PRIMARY SCHOOL,OSM,Primary,Public,Kano,8.565715,12.045595,318,11,0.0346,46.75,Low,42.61,High Risk,3.36,0,0,2.37,10.01,0.5129,70.75,0.6,0.55,0.65,51.39,Low,High Risk,#d73027,#d73027
2641,APEX SUCCESS ITNL SCHOOLS,OSM,Primary,Mission/Faith-based,Kano,8.565286,12.045176,600,17,0.0283,54.86,Medium,35.03,High Risk,3.95,0,1,1.73,6.53,0.3447,48.53,0.6,0.55,0.65,49.5,Low,High Risk,#d73027,#d73027
2642,MAKARANTAR MAL AUWALU,OSM,Senior Secondary,Public,Kano,8.565208,12.044456,384,17,0.0443,50.95,Medium,38.15,High Risk,5.29,0,0,2.27,16.43,0.5075,46.49,0.6,0.55,0.65,50.99,Low,High Risk,#d73027,#d73027
2643,HAYATUL ISLAMPRIMARY SCHOOL,OSM,Primary,Public,Kano,8.564657,12.044492,504,11,0.0218,50.54,Medium,35.73,High Risk,2.82,0,1,1.54,3.13,0.8218,24.19,0.6,0.55,0.65,54.48,Medium,High Risk,#fee08b,#d73027
2644,RAHAMA ACADEMY SCHOOL Z/MARIKITA,OSM,Senior Secondary,Private,Kano,8.577069,12.049899,265,11,0.0415,65.33,Medium,36.28,High Risk,4.12,1,1,2.04,6.53,0.3721,62.04,0.6,0.55,0.65,62.01,Medium,High Risk,#fee08b,#d73027
2645,SAHABA MODEL SCIENCE ACADEMY,OSM,Primary,Mission/Faith-based,Kano,8.564,12.043588,482,13,0.027,31.92,Low,45.28,High Risk,3.2,0,1,2.52,1.83,0.5792,12.67,0.6,0.55,0.65,53.33,Low,High Risk,#d73027,#d73027
2646,TALENT INTERNATIONAL,OSM,Tertiary,Public,Kano,8.565752,12.039625,1270,71,0.0559,60.69,Medium,37.25,High Risk,2.38,0,1,1.51,11.98,0.472,63.03,0.6,0.55,0.65,61.76,Medium,High Risk,#fee08b,#d73027
2647,GODIYA NURSERY AND PRIMARY SCHOOL,OSM,Junior Secondary,Public,Kano,8.568899,12.038249,215,8,0.0372,50.36,Medium,40.15,High Risk,2.25,0,1,2.55,4.78,0.6041,56.18,0.6,0.55,0.65,52.63,Low,High Risk,#d73027,#d73027
2648,BARDEN BOKO COLLEGE,OSM,Junior Secondary,Private,Kano,8.570076,12.039169,346,10,0.0289,50.47,Medium,37.69,High Risk,5.47,1,1,2.7,10.8,0.4631,69.89,0.6,0.55,0.65,58.39,Medium,High Risk,#fee08b,#d73027
2649,UBAYYU BIN KAAB,OSM,Senior Secondary,Mission/Faith-based,Kano,8.567066,12.041786,334,16,0.0479,64.9,Medium,39.55,High Risk,6.03,0,1,1.98,0.94,0.7114,82.87,0.6,0.55,0.65,53.62,Medium,High Risk,#fee08b,#d73027
2650,UMMUL KHAIRI ISLAMIYYA,OSM,Primary,Public,Kano,8.566433,12.042983,651,16,0.0246,59.78,Medium,37.63,High Risk,4.18,0,1,2.56,0.1,0.5052,59.15,0.6,0.55,0.65,52.99,Low,High Risk,#d73027,#d73027
2651,MUASSA ISLAMIYYA,OSM,Primary,Public,Kano,8.571604,12.044625,399,10,0.0251,80.96,High,42.81,High Risk,5.08,0,0,2.37,2.41,0.2396,47.8,0.6,0.55,0.65,55.51,Low,High Risk,#d73027,#d73027
2652,ABUBAKAR SADIQ MEMORIAL INTERNATIONAL,OSM,Primary,Public,Kano,8.571276,12.043634,329,9,0.0274,41.35,Low,46.72,High Risk,5.58,0,1,2.79,5.27,0.479,65.38,0.6,0.55,0.65,50.34,Low,High Risk,#d73027,#d73027
2653,MALAN YARO ISLAMIYYA,OSM,Primary,Public,Kano,8.570387,12.04436,445,13,0.0292,35.27,Low,46.44,High Risk,6.19,0,1,3.71,2.61,0.3354,55.54,0.6,0.55,0.65,51.42,Low,High Risk,#d73027,#d73027
2654,MADARASATUL SUNNATU NABIYYI,OSM,Primary,Private,Kano,8.567985,12.042961,417,12,0.0288,65.81,Medium,38.79,High Risk,4.76,1,0,2.71,2.95,0.4538,61.42,0.6,0.55,0.65,58.35,Medium,High Risk,#fee08b,#d73027
2655,MADARASATUL KHALID BIN WALID ISLAMIYYA,OSM,Junior Secondary,Public,Kano,8.567237,12.043415,401,10,0.0249,51.98,Medium,41.74,High Risk,3.44,0,1,2.04,14.9,0.5348,65.38,0.6,0.55,0.65,50.61,Low,High Risk,#d73027,#d73027
